日期,预测负载MAE_kW,预测光伏MAE_kW,预测净负荷MAE_kWh,计划购电量_kWh,计划购电费_元,紧急购电量_kWh,紧急购电费_元,总购电费_元,弃光量_kWh,弃光率,未利用外网电量_kWh,期初SOC_kWh,期末SOC_kWh,正向备用缺口_kWh,反向备用缺口_kWh,优化目标值,计划终端SOC偏差_kWh
2025-09-04,407.07526022687153,222.85999058628394,84.46147616849017,70348.83954668677,49776.154812034656,0.0,0.0,49776.154812034656,10135.84698818994,0.15097572462878514,3708.3134908940738,10800.0,10800.0,0.0,551.9173792837883,51983.82436454424,0.0
2025-09-05,1003.1398655428553,153.42233592553,183.00243479193335,49866.22814188662,33148.33643775778,0.0,0.0,33148.33643775778,33038.949936816,0.48367105290924,8011.794604741298,10800.0,10800.0,0.0,757.9105446326521,36179.97976285024,0.0
2025-09-06,765.2274327520595,253.5518256618532,138.67999238412617,46489.23354222035,30738.248551167493,0.0,0.0,30738.248551167493,30050.179900537813,0.4412312126507341,6517.2596794759365,10800.0,10800.0,0.0,1167.413156868186,35407.90262480659,0.0
2025-09-07,256.590012175279,125.19028553121335,52.46288398847722,64764.25337425406,45590.854454812856,0.0,0.0,45590.854454812856,5452.253449817154,0.0828357846309272,1474.1150232661328,10800.0,10800.0,0.0,1400.2931400656053,51192.027393930315,0.0
2025-09-08,171.37490217148766,208.72229810467323,46.561982246002785,64414.80244977947,45386.1814326824,0.0,0.0,45386.1814326824,1766.2532046433205,0.028485647162680438,364.7853375667339,10800.0,10783.849150959648,0.0,1406.7247290760133,51013.08051401262,0.0
2025-09-09,165.55130298791607,235.67245250565298,57.25363762558774,65383.50629225708,46125.516150753945,0.0,0.0,46125.516150753945,9485.762135655788,0.13953877133263518,329.14907020151736,10783.849150959648,10664.734050661156,0.0,1377.863274145273,51636.96941956789,0.0
2025-09-10,163.84777015711202,251.0423046374228,59.77066132385946,65399.05456428476,46084.89650711058,0.0,0.0,46084.89650711058,547.2685008923585,0.009127410716820564,534.421421439042,10664.734050661156,10498.727514002656,0.0,1146.7209389003583,50671.7805259192,0.0
2025-09-11,164.32993365965652,195.31728051452734,53.087459649245496,65779.80868688867,46468.22910859193,0.0,0.0,46468.22910859193,9154.291918770808,0.13612189807110187,372.95485202170806,10498.727514002656,10522.23854610642,0.0,855.3494036747488,49889.62689717132,0.0
2025-09-12,840.3011102563441,129.12258887068424,125.31748215147137,46390.5097965024,30670.77246672083,0.0,0.0,30670.77246672083,27687.54531080305,0.4317034200378186,4805.210139173062,10522.23854610642,10800.0,0.0,878.1600568515605,34183.4138914895,0.0
2025-09-13,610.2429224020888,221.3426183493069,113.27326301665236,43055.54666008414,28142.33885778751,0.0,0.0,28142.33885778751,29015.515471148305,0.43270262269061377,3864.6225794367692,10800.0,10800.0,0.0,1419.8096767923726,33821.57898515437,0.0
2025-09-14,250.83400173584494,181.49689672866694,71.30859491192203,59661.827670277315,41729.72112058638,0.0,0.0,41729.72112058638,0.0,0.0,0.0,10800.0,7350.62880313565,0.0,1419.8096767923726,47408.960277731836,0.0
2025-09-15,170.54994894062142,250.44029535982438,58.269017767824735,68253.2361895426,47513.428452868946,0.0,0.0,47513.428452868946,7083.040346913754,0.10782032222274818,338.67614144474805,7350.62880313565,10515.606005776368,0.0,0.0,47513.428549819146,0.0
2025-09-16,119.49684322241855,151.6238892113334,36.74241605963269,64976.20695793759,45936.28495565626,0.0,0.0,45936.28495565626,2954.927235285255,0.0473913713275562,340.4774772132786,10515.606005776368,9980.577118549312,0.0,872.5008716460216,49426.288817383414,0.0
2025-09-17,135.27448581427007,147.75151340101988,38.59312308626334,65918.48174392374,46520.902169935616,0.0,0.0,46520.902169935616,2591.9604517404073,0.042515774646796164,426.31799868334485,9980.577118549312,10139.72281277199,0.0,343.2130377326705,47893.75442181483,0.0
2025-09-18,129.5823560805307,127.16455243360454,33.80665647907871,64640.980840753924,45702.77517476106,0.0,0.0,45702.77517476106,2726.5551973768725,0.04408472902678023,298.15106440612135,10139.72281277199,9975.02745337049,0.0,502.35873195534805,47712.21032773203,0.0
