日期,变量,基准,权重
2025-10-15,光伏,附件1先验,0.14185798790036663
2025-10-15,光伏,前1天,0.2457096708527026
2025-10-15,光伏,前7天,0.204708790370801
2025-10-15,光伏,近7天中位数,0.27356297259851586
2025-10-15,光伏,同星期中位数,0.1341605782776139
2025-10-16,光伏,附件1先验,0.14370600702589362
2025-10-16,光伏,前1天,0.24854701309408186
2025-10-16,光伏,前7天,0.202304704778328
2025-10-16,光伏,近7天中位数,0.2723675911890046
2025-10-16,光伏,同星期中位数,0.13307468391269192
2025-10-17,光伏,附件1先验,0.1453336686355146
2025-10-17,光伏,前1天,0.2500841211571781
2025-10-17,光伏,前7天,0.20152494199775303
2025-10-17,光伏,近7天中位数,0.27078376899233364
2025-10-17,光伏,同星期中位数,0.13227349921722056
2025-10-18,光伏,附件1先验,0.1446698859115789
2025-10-18,光伏,前1天,0.25086368489792377
2025-10-18,光伏,前7天,0.19777856365504518
2025-10-18,光伏,近7天中位数,0.2733474320191065
2025-10-18,光伏,同星期中位数,0.1333404335163456
2025-10-19,光伏,附件1先验,0.1429611605899647
2025-10-19,光伏,前1天,0.2524253471654935
2025-10-19,光伏,前7天,0.19963226520394475
2025-10-19,光伏,近7天中位数,0.2716090450318636
2025-10-19,光伏,同星期中位数,0.1333721820087334
2025-10-20,光伏,附件1先验,0.1435584966405466
2025-10-20,光伏,前1天,0.25726683052344196
2025-10-20,光伏,前7天,0.19652382536470855
2025-10-20,光伏,近7天中位数,0.27176966661466195
2025-10-20,光伏,同星期中位数,0.13088118085664088
2025-10-21,光伏,附件1先验,0.14567292825687697
2025-10-21,光伏,前1天,0.2564008893721053
2025-10-21,光伏,前7天,0.19627936012726266
2025-10-21,光伏,近7天中位数,0.27034954411602835
2025-10-21,光伏,同星期中位数,0.13129727812772665
2025-10-22,光伏,附件1先验,0.14715757898947238
2025-10-22,光伏,前1天,0.25807227288229184
2025-10-22,光伏,前7天,0.19538267737269707
2025-10-22,光伏,近7天中位数,0.2684644096402402
2025-10-22,光伏,同星期中位数,0.13092306111529853
2025-10-23,光伏,附件1先验,0.147983769385391
2025-10-23,光伏,前1天,0.26180128956204457
