date,issue_hour,price_model,pv_model,start_soc_kwh,proxy_objective,mip_gap,mip_absolute_gap,constraint_error,max_reserve_slack_soc_kwh,terminal_penalty,reserve_penalty,historical_days
2025-06-15,0,weekday4,mean7,7833.1934812896825,57961.242618712735,0.0,7.275957614183426e-12,1.4779288903810084e-12,0.0,0.6702352241790651,4.124524456486554,56
2025-06-16,0,weekday4,mean7,7978.063250264553,58421.7209157997,1.328179964224129e-06,0.07759455919585889,9.094947017729282e-13,0.0,0.6728618656797873,4.140688404183306,56
2025-06-17,0,weekday4,mean7,7893.375770720902,58051.14564409101,0.0,0.0,7.16227077646181e-12,0.0,0.6758301493130887,4.158954765003623,56
2025-06-18,0,weekday4,mean7,7486.019028128307,59872.84089530803,1.2152350724272397e-16,7.275957614183426e-12,9.094947017729282e-13,0.0,0.6808827760800221,4.190047852800136,56
2025-06-19,0,lag7,mean7,7799.721936223544,61677.055050734845,3.414542930373258e-06,0.2105989522897289,9.094947017729282e-13,0.0,0.7125097086897024,4.384675130398168,56
2025-06-20,0,lag7,mean7,7636.927806117726,20810.03588995855,0.0,0.0,1.8189894035458565e-12,0.0,0.5582846940569717,3.435598117273672,56
2025-06-21,0,weekday4,mean7,7899.238091170637,20131.593664616263,5.701457808503693e-10,1.1477943189674988e-05,1.8189894035458565e-11,0.0,0.525778804872497,3.235561876138443,56
2025-06-22,0,weekday4,mean7,8249.898962202382,57873.64297310069,0.0,7.275957614183426e-12,9.094947017729282e-13,0.0,0.688628176691201,4.237711856561237,56
2025-06-23,0,weekday4,mean7,7616.739857883599,58400.20645787223,0.0,0.0,9.094947017729282e-13,0.0,0.6960995534856488,4.283689559911685,56
2025-06-24,0,lag7,mean7,7753.9827341865075,58429.726910354155,1.2452492932829495e-16,0.0,1.8189894035458565e-12,0.0,0.7191274035890636,4.4253994067019295,56
2025-06-25,0,lag7,mean7,7244.028653333332,59004.52323618964,0.0,0.0,1.8189894035458565e-12,0.0,0.7123842216144772,4.383902902242936,56
2025-06-26,0,lag7,mean7,7738.510143703703,58488.74612296597,0.0,0.0,9.094947017729282e-13,0.0,0.7025260208421487,4.323237051336299,56
2025-06-27,0,lag7,mean7,7575.58770683201,19683.318844251462,0.0,0.0,6.252776074688882e-12,0.0,0.5442573704308202,3.3492761257281245,56
2025-06-28,0,lag7,mean7,8124.2442146362455,19145.18263256542,1.6867253251151002e-10,3.2292664400301874e-06,1.8189894035458565e-12,0.0,0.533499819757323,3.283075813891218,56
2025-06-29,0,lag7,mean7,7631.759318174604,57414.69201682289,1.267264067540678e-16,7.275957614183426e-12,6.252776074688882e-12,0.0,0.7014802303409644,4.316801417482858,56
2025-06-30,0,lag7,mean7,7674.606565052908,57548.804371032566,1.264310821693771e-16,7.275957614183426e-12,9.094947017729282e-13,0.0,0.6993488962913755,4.303685515639234,56
2025-07-01,0,lag7,mean7,7491.984276931217,59763.864590830635,0.0,0.0,9.094947017729282e-13,0.0,0.7295187028502701,4.48934586369397,56
2025-07-02,0,lag7,mean7,4588.205453148149,57720.75067158293,0.0,0.0,1.1368683772161603e-13,0.0,0.7096037832932248,4.366792512573691,56
2025-07-03,0,lag7,mean7,4442.178993888888,56249.90964465231,0.0,7.275957614183426e-12,9.094947017729282e-13,0.0,0.7015883775656883,4.317466938865774,56
2025-07-04,0,lag7,mean7,4652.351818888888,19886.045181468045,1.1446435432781049e-10,2.2762433218304068e-06,6.984919309616089e-10,0.0,0.5324305800342549,3.2764958771338764,56
2025-07-05,0,lag7,mean7,4486.145987037037,20476.779274202276,0.0,0.0,4.320099833421409e-12,0.0,0.5487676700054304,3.3770318154180328,56
2025-07-06,0,lag7,mean7,4877.390753703702,55765.78177674084,0.0,0.0,2.2737367544323206e-13,0.0,0.7096228247792903,4.366909690949479,56
2025-07-07,0,lag7,mean7,4783.041177407408,55008.94972916178,0.0,0.0,7.048583938740194e-12,0.0,0.7093150759658993,4.365015852097842,56
2025-07-08,0,weekday4,mean7,5158.494839814816,69015.42345405859,0.0,0.0,1.7053025658242404e-12,0.0,0.7391740250047001,4.548763230798154,56
2025-07-09,0,lag7,mean7,8170.937503333336,70046.95118611795,0.0,0.0,4.547473508864641e-13,0.0,0.7659860127782048,4.713760078635106,56
2025-07-10,0,lag7,mean7,8439.88659625,71983.6805297939,2.0215575421075952e-16,1.4551915228366852e-11,9.094947017729282e-13,0.0,0.7882297902422909,4.8506448630294825,56
2025-07-11,0,lag7,mean7,8189.485215753971,30412.457109199953,0.0,0.0,1.1186784831807017e-10,0.0,0.6087028648931384,3.7458637839577746,56
2025-07-12,0,lag7,mean7,8495.772577599206,29564.11034677004,0.0,0.0,2.0676793610618915e-12,0.0,0.6041388807416109,3.7177777276406823,56
2025-07-13,0,lag7,mean7,8124.818197089948,71755.33521276596,0.0,0.0,2.2737367544323206e-13,0.0,0.785929439333518,4.8364888574370335,56
2025-07-14,0,lag7,mean7,8337.524040562172,69265.8136400551,4.2017597032749663e-16,2.9103830456733704e-11,2.2737367544323206e-13,0.0,0.767140968329404,4.720867497411717,56
2025-07-15,0,lag7,mean7,8238.061592136248,69842.98853544376,0.0,0.0,3.183231456205249e-12,0.0,0.7726562374567344,4.754807615118366,56
2025-07-16,0,lag7,mean7,8643.72493566799,68375.08631685101,0.0,0.0,3.183231456205249e-12,0.0,0.7685932814078833,4.729804808663897,56
2025-07-17,0,lag7,mean7,8372.225224166668,68193.22505841801,0.0,0.0,5.5706550483591855e-12,0.0,0.7671271685120858,4.72078257545899,56
2025-07-18,0,lag7,mean7,8567.736167070107,29857.898528527727,0.0,3.637978807091713e-12,3.637978807091713e-12,0.0,0.622441604383015,3.830409873126246,56
2025-07-19,0,lag7,mean7,8499.346122063494,29295.41679014612,2.0812829633514857e-10,6.097201548982412e-06,1.7507773009128869e-10,0.0,0.6115495587489647,3.763381899993629,56
2025-07-20,0,lag7,mean7,8263.42622135582,66106.22141724326,0.0,0.0,4.092726157978177e-12,0.0,0.7472426075011251,4.59841604616077,56
